,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,churn
748,KY,Igual ou superior à média,510,no,no,Inferior à média,2,2,2,3,2,3,1,0,no
749,LA,Igual ou superior à média,408,no,no,Inferior à média,3,3,3,2,1,3,2,1,no
750,NM,Inferior à média,510,yes,no,Inferior à média,2,3,2,3,1,1,2,2,no
751,AL,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,2,2,1,2,1,1,no
752,MO,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,3,2,2,3,1,2,2,no
753,CO,Inferior à média,510,no,yes,Igual ou superior à média,2,2,1,0,1,2,3,1,no
754,TX,Inferior à média,415,no,no,Inferior à média,1,1,1,2,1,3,2,1,no
755,NY,Inferior à média,415,no,no,Inferior à média,3,2,1,2,3,2,2,1,no
756,OR,Inferior à média,415,no,no,Inferior à média,2,1,3,2,0,2,2,1,no
758,UT,Igual ou superior à média,415,no,no,Inferior à média,1,2,3,2,2,1,3,1,no
759,LA,Igual ou superior à média,510,no,yes,Igual ou superior à média,4,2,2,3,2,2,2,2,no
760,NV,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,2,2,4,3,2,1,no
761,NC,Igual ou superior à média,510,no,no,Inferior à média,2,1,3,2,2,1,2,1,no
762,NC,Inferior à média,408,no,no,Inferior à média,2,3,2,2,1,2,1,0,no
764,TN,Inferior à média,415,no,yes,Igual ou superior à média,2,3,3,1,4,2,3,1,no
765,FL,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,2,2,3,1,2,1,no
766,CA,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,3,1,2,2,2,no
767,PA,Igual ou superior à média,415,yes,no,Inferior à média,3,3,3,2,2,0,2,0,yes
768,WV,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,4,1,4,3,2,4,1,no
769,NJ,Inferior à média,415,no,no,Inferior à média,3,2,2,1,1,2,2,0,no
770,MT,Igual ou superior à média,415,no,no,Inferior à média,2,2,3,3,1,1,2,0,no
771,MN,Igual ou superior à média,415,no,no,Inferior à média,2,0,2,2,2,2,3,1,no
772,WI,Igual ou superior à média,415,yes,yes,Igual ou superior à média,1,2,1,2,1,1,2,0,yes
773,ID,Inferior à média,510,no,no,Inferior à média,2,2,2,2,2,2,2,2,no
774,MA,Igual ou superior à média,408,yes,no,Inferior à média,2,2,1,2,2,4,1,0,yes
775,OR,Inferior à média,415,no,no,Inferior à média,2,2,2,1,2,3,2,1,no
776,MT,Igual ou superior à média,510,no,no,Inferior à média,2,2,2,1,2,1,2,1,no
777,AL,Inferior à média,415,no,yes,Igual ou superior à média,3,3,1,2,3,2,2,1,no
778,ND,Igual ou superior à média,510,yes,yes,Igual ou superior à média,1,0,2,2,3,1,1,1,no
780,ND,Igual ou superior à média,408,yes,no,Inferior à média,3,2,3,2,1,2,2,1,no
781,MS,Igual ou superior à média,510,yes,no,Inferior à média,4,2,2,1,1,1,2,3,no
782,WV,Igual ou superior à média,415,yes,no,Inferior à média,2,4,2,3,1,3,2,1,no
783,WI,Inferior à média,510,no,yes,Igual ou superior à média,3,1,1,2,3,1,2,1,no
784,KS,Igual ou superior à média,408,yes,no,Inferior à média,0,3,2,1,3,1,2,1,no
785,MO,Igual ou superior à média,415,no,yes,Igual ou superior à média,4,1,1,3,3,3,2,3,no
786,PA,Inferior à média,415,no,no,Inferior à média,3,1,3,1,1,0,2,1,no
787,SD,Inferior à média,408,no,no,Inferior à média,3,1,2,2,2,1,2,0,no
788,NJ,Inferior à média,408,no,no,Inferior à média,3,1,2,2,2,2,2,2,yes
789,AL,Inferior à média,415,no,no,Inferior à média,3,2,1,3,1,1,2,0,no
790,ME,Igual ou superior à média,510,no,no,Inferior à média,1,1,2,2,1,0,2,0,no
791,AZ,Inferior à média,415,yes,yes,Igual ou superior à média,4,1,2,2,0,1,1,0,no
792,VT,Inferior à média,415,no,no,Inferior à média,1,1,3,1,1,1,3,0,no
793,NV,Inferior à média,510,yes,yes,Igual ou superior à média,3,2,3,2,1,1,1,0,yes
794,WI,Inferior à média,408,no,no,Inferior à média,1,2,2,3,3,2,2,0,no
795,HI,Inferior à média,408,no,no,Inferior à média,2,3,3,2,1,2,3,0,no
796,DE,Inferior à média,415,no,no,Inferior à média,2,1,3,2,1,2,2,1,no
797,AZ,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,1,3,1,3,1,0,no
798,VA,Inferior à média,408,yes,no,Inferior à média,2,3,2,3,2,3,3,2,yes
799,GA,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,3,3,2,1,4,3,1,no
800,AZ,Inferior à média,415,no,yes,Igual ou superior à média,2,3,1,4,2,2,4,1,no
801,MN,Inferior à média,415,no,yes,Igual ou superior à média,3,2,2,2,2,2,2,0,no
802,ME,Igual ou superior à média,510,no,no,Inferior à média,3,2,2,3,2,2,2,1,no
803,FL,Inferior à média,510,no,no,Inferior à média,2,1,4,3,3,1,1,1,no
804,WA,Igual ou superior à média,408,no,no,Inferior à média,2,1,3,2,3,1,3,0,no
805,MT,Inferior à média,415,no,no,Inferior à média,3,1,2,1,2,2,2,1,no
806,AL,Inferior à média,408,no,no,Inferior à média,2,1,2,2,0,1,1,1,no
807,WV,Igual ou superior à média,408,no,no,Inferior à média,2,3,1,2,1,3,2,1,no
808,GA,Inferior à média,415,no,yes,Igual ou superior à média,1,1,2,3,2,2,3,0,no
809,OH,Inferior à média,510,yes,yes,Igual ou superior à média,1,1,3,0,1,2,2,0,no
810,DE,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,2,3,4,2,0,1,0,no
811,NE,Igual ou superior à média,510,no,no,Inferior à média,2,3,3,3,1,2,3,1,no
812,FL,Inferior à média,510,no,no,Inferior à média,3,1,0,3,2,3,2,2,no
813,AK,Igual ou superior à média,510,no,no,Inferior à média,1,2,0,1,2,1,3,1,no
814,WI,Igual ou superior à média,510,no,no,Inferior à média,2,2,3,1,2,3,4,1,no
815,WA,Inferior à média,510,no,yes,Igual ou superior à média,1,3,2,2,2,1,3,1,no
816,KY,Inferior à média,415,no,no,Inferior à média,4,2,1,1,3,2,1,0,yes
817,OH,Inferior à média,510,no,no,Inferior à média,3,1,2,3,2,2,3,1,no
819,NM,Igual ou superior à média,408,no,no,Inferior à média,2,3,2,1,2,3,3,0,no
820,MN,Igual ou superior à média,415,no,no,Inferior à média,2,3,2,2,3,2,3,0,no
821,WV,Inferior à média,510,no,yes,Igual ou superior à média,2,2,0,3,2,2,3,0,no
823,AL,Igual ou superior à média,415,no,no,Inferior à média,2,2,1,0,3,2,2,1,no
824,PA,Inferior à média,510,no,yes,Igual ou superior à média,2,1,1,1,2,1,2,2,no
825,DE,Igual ou superior à média,510,no,no,Inferior à média,2,2,1,1,1,3,2,0,no
826,MO,Inferior à média,415,no,no,Inferior à média,2,2,2,2,2,2,2,2,no
827,IL,Igual ou superior à média,510,yes,no,Inferior à média,2,1,2,4,2,1,2,3,no
828,FL,Igual ou superior à média,415,no,no,Inferior à média,1,3,3,4,2,2,3,1,no
829,HI,Inferior à média,415,no,no,Inferior à média,2,4,2,1,3,3,1,0,no
830,ME,Igual ou superior à média,510,no,no,Inferior à média,2,0,2,1,1,1,2,0,no
831,CO,Igual ou superior à média,408,yes,no,Inferior à média,2,2,0,3,3,3,3,0,yes
832,NH,Inferior à média,415,no,no,Inferior à média,2,1,2,2,3,2,2,0,no
833,SC,Inferior à média,408,no,no,Inferior à média,4,2,2,2,2,3,2,1,yes
834,IN,Inferior à média,510,no,no,Inferior à média,3,2,2,1,1,3,2,0,no
835,FL,Igual ou superior à média,415,no,no,Inferior à média,0,3,1,1,2,2,2,0,no
836,GA,Inferior à média,510,no,no,Inferior à média,0,1,2,3,0,1,2,0,no
837,IL,Inferior à média,415,no,yes,Igual ou superior à média,3,2,2,2,1,3,2,1,no
839,VT,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,1,4,3,2,3,3,3,no
840,DC,Inferior à média,415,no,yes,Igual ou superior à média,3,1,2,2,2,2,4,1,no
841,VT,Igual ou superior à média,408,no,no,Inferior à média,1,2,3,4,2,2,2,2,no
842,NV,Inferior à média,415,no,no,Inferior à média,3,3,1,3,1,1,2,0,no
843,OR,Inferior à média,415,yes,no,Inferior à média,1,0,3,1,0,3,2,4,no
844,AL,Igual ou superior à média,408,no,no,Inferior à média,3,1,1,2,1,2,4,2,no
845,ND,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,1,1,1,2,2,3,2,no
847,NE,Inferior à média,415,no,no,Inferior à média,2,2,2,3,4,3,2,1,yes
848,ND,Inferior à média,415,no,yes,Igual ou superior à média,1,2,2,2,3,1,2,1,no
849,ME,Igual ou superior à média,408,no,no,Inferior à média,3,1,2,2,2,2,2,3,no
850,IL,Igual ou superior à média,415,no,no,Inferior à média,2,2,3,2,1,2,2,0,no
851,WA,Igual ou superior à média,408,no,no,Inferior à média,4,2,0,2,3,3,2,1,no
852,MA,Igual ou superior à média,408,yes,no,Inferior à média,2,1,2,2,0,1,2,1,yes
853,KS,Igual ou superior à média,510,no,no,Inferior à média,3,2,3,1,2,2,2,0,no
854,RI,Inferior à média,415,no,no,Inferior à média,1,2,3,2,3,3,1,2,no
856,IA,Inferior à média,510,no,no,Inferior à média,3,3,2,2,2,4,1,2,no
857,WY,Igual ou superior à média,408,no,no,Inferior à média,2,3,1,2,2,3,3,0,no
858,NV,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,3,3,2,2,1,no
859,WI,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,1,2,2,1,2,3,no
860,AL,Inferior à média,408,no,no,Inferior à média,3,3,2,1,3,2,2,0,yes
861,HI,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,3,2,2,2,2,no
862,MO,Inferior à média,415,no,no,Inferior à média,2,4,2,2,2,2,3,0,no
863,CA,Inferior à média,510,no,yes,Igual ou superior à média,2,3,1,3,4,3,3,0,no
865,CT,Igual ou superior à média,510,no,no,Inferior à média,2,2,2,2,0,2,2,1,no
866,MD,Inferior à média,415,no,no,Inferior à média,3,3,2,1,1,3,2,3,no
867,OH,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,3,3,3,1,1,2,0,no
868,NV,Inferior à média,510,no,no,Inferior à média,1,1,1,2,2,2,1,1,no
869,MD,Inferior à média,408,no,no,Inferior à média,2,1,3,3,1,2,0,2,no
870,NE,Igual ou superior à média,510,yes,no,Inferior à média,2,3,2,3,3,2,1,1,no
871,OH,Igual ou superior à média,408,no,no,Inferior à média,1,4,3,2,3,2,3,1,no
872,MA,Inferior à média,510,no,no,Inferior à média,3,3,2,2,3,3,2,2,yes
873,OK,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,1,2,3,3,1,2,0,no
874,MA,Igual ou superior à média,408,no,no,Inferior à média,2,2,3,3,4,1,2,0,no
875,WA,Igual ou superior à média,415,no,no,Inferior à média,2,2,1,2,2,2,2,0,no
876,HI,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,3,3,2,1,2,2,1,no
877,CO,Igual ou superior à média,415,no,no,Inferior à média,1,2,4,1,1,3,1,0,no
878,FL,Igual ou superior à média,415,yes,no,Inferior à média,3,1,2,1,1,4,1,1,no
880,ID,Igual ou superior à média,510,no,yes,Igual ou superior à média,3,2,2,2,1,2,2,3,no
881,WY,Inferior à média,408,no,no,Inferior à média,2,1,2,2,2,0,2,2,no
882,GA,Inferior à média,510,no,no,Inferior à média,1,1,2,3,3,3,1,3,no
883,FL,Igual ou superior à média,415,no,no,Inferior à média,2,3,3,2,1,4,1,0,no
885,DE,Inferior à média,415,no,no,Inferior à média,3,1,1,1,1,2,3,2,no
886,ME,Inferior à média,408,no,yes,Igual ou superior à média,3,2,3,3,2,2,1,0,no
887,DC,Igual ou superior à média,510,no,yes,Igual ou superior à média,1,3,2,2,2,2,2,0,no
888,IA,Igual ou superior à média,408,no,no,Inferior à média,2,1,3,2,3,1,1,2,no
889,CO,Igual ou superior à média,415,no,no,Inferior à média,2,3,3,1,2,2,1,1,no
891,VT,Igual ou superior à média,415,no,no,Inferior à média,2,1,3,3,2,2,3,0,no
892,AZ,Inferior à média,510,no,no,Inferior à média,1,2,1,3,2,3,1,1,no
893,LA,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,2,2,2,2,3,1,yes
894,MO,Igual ou superior à média,415,yes,no,Inferior à média,3,2,0,2,2,2,2,0,no
895,ME,Inferior à média,510,no,no,Inferior à média,1,2,1,2,2,0,3,0,yes
896,MD,Igual ou superior à média,415,no,no,Inferior à média,2,3,2,2,2,2,1,0,no
897,VT,Igual ou superior à média,415,no,no,Inferior à média,1,3,1,3,2,3,3,2,no
898,DC,Igual ou superior à média,408,no,yes,Igual ou superior à média,3,2,2,2,2,2,4,2,no
899,WY,Igual ou superior à média,415,no,no,Inferior à média,1,3,2,3,3,1,1,0,no
900,VA,Inferior à média,415,no,yes,Igual ou superior à média,3,3,3,2,2,2,2,2,no
901,VA,Inferior à média,510,yes,yes,Igual ou superior à média,1,3,1,2,2,1,1,2,no
902,CT,Inferior à média,510,no,no,Inferior à média,4,2,3,3,1,4,2,0,yes
904,WI,Inferior à média,415,no,no,Inferior à média,3,2,2,1,1,3,1,3,no
905,MD,Inferior à média,415,no,no,Inferior à média,3,3,2,3,3,1,2,0,yes
906,WV,Igual ou superior à média,415,no,no,Inferior à média,2,3,0,1,2,2,3,1,yes
907,VT,Inferior à média,408,no,no,Inferior à média,3,2,2,2,1,2,3,0,no
908,UT,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,1,0,1,3,1,4,0,no
910,NC,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,2,1,2,3,2,0,2,no
911,NJ,Inferior à média,415,no,yes,Igual ou superior à média,2,1,2,3,2,2,1,1,no
912,AR,Igual ou superior à média,415,no,no,Inferior à média,3,4,4,3,2,2,3,4,yes
913,IA,Inferior à média,510,no,no,Inferior à média,2,2,1,1,1,2,2,0,no
914,GA,Inferior à média,408,no,yes,Igual ou superior à média,3,3,3,0,4,3,2,1,no
915,MO,Igual ou superior à média,510,no,no,Inferior à média,4,3,3,3,3,3,2,1,yes
916,MO,Igual ou superior à média,408,no,no,Inferior à média,1,3,1,1,2,3,1,0,no
917,WY,Igual ou superior à média,415,no,no,Inferior à média,1,1,3,3,2,3,3,1,no
918,HI,Inferior à média,415,no,no,Inferior à média,1,2,1,2,4,1,1,2,no
919,PA,Inferior à média,408,no,no,Inferior à média,3,1,2,2,4,3,0,0,no
920,TX,Igual ou superior à média,415,no,no,Inferior à média,2,2,1,2,2,3,2,1,no
921,VA,Igual ou superior à média,510,no,no,Inferior à média,1,3,1,0,1,2,2,0,no
924,MS,Inferior à média,415,no,no,Inferior à média,1,2,1,1,2,1,3,0,no
925,KY,Inferior à média,408,no,no,Inferior à média,1,3,2,1,2,2,1,1,no
926,NC,Inferior à média,415,no,no,Inferior à média,1,3,0,2,2,1,2,0,no
927,NV,Igual ou superior à média,415,no,no,Inferior à média,2,3,0,1,2,2,3,2,no
928,UT,Inferior à média,415,no,yes,Igual ou superior à média,1,3,2,0,1,3,2,1,no
929,ME,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,4,1,2,2,0,1,1,no
930,HI,Inferior à média,415,no,no,Inferior à média,3,2,1,2,2,2,1,1,no
931,OH,Inferior à média,415,no,no,Inferior à média,1,2,2,2,3,3,2,1,no
932,WV,Inferior à média,510,no,no,Inferior à média,0,1,2,1,3,4,3,0,no
933,OK,Inferior à média,415,no,no,Inferior à média,2,1,4,2,1,3,2,0,no
934,KY,Inferior à média,510,yes,no,Inferior à média,1,2,2,2,2,4,3,1,yes
935,AL,Igual ou superior à média,408,no,no,Inferior à média,1,1,1,2,2,3,2,0,no
936,MD,Inferior à média,408,no,no,Inferior à média,3,1,2,2,3,2,3,0,no
937,NE,Inferior à média,510,no,yes,Igual ou superior à média,2,2,3,3,3,2,2,1,no
938,DC,Inferior à média,415,no,no,Inferior à média,3,3,1,2,2,1,1,0,no
939,TX,Igual ou superior à média,415,no,no,Inferior à média,1,3,2,0,3,2,3,0,no
940,OH,Inferior à média,408,no,no,Inferior à média,1,2,2,3,4,2,3,3,no
941,DE,Igual ou superior à média,415,no,no,Inferior à média,2,4,3,2,2,2,4,1,no
942,IA,Inferior à média,510,no,no,Inferior à média,2,1,3,3,2,1,1,1,no
943,VT,Igual ou superior à média,415,no,no,Inferior à média,3,1,1,3,2,2,1,0,no
944,OR,Igual ou superior à média,510,no,no,Inferior à média,2,2,2,3,3,1,3,0,no
945,NV,Inferior à média,415,no,yes,Igual ou superior à média,2,4,2,2,2,2,2,2,yes
946,NC,Igual ou superior à média,415,no,no,Inferior à média,2,1,1,1,3,3,2,2,no
947,NJ,Inferior à média,408,no,no,Inferior à média,3,1,3,2,2,2,3,1,yes
948,MN,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,1,1,2,3,2,1,no
949,ID,Inferior à média,408,no,no,Inferior à média,2,1,1,3,3,3,1,0,no
950,AL,Inferior à média,408,no,no,Inferior à média,3,3,2,1,2,1,2,0,no
951,AK,Igual ou superior à média,415,no,no,Inferior à média,1,3,3,2,1,2,1,0,no
952,VT,Igual ou superior à média,415,no,no,Inferior à média,2,1,3,2,2,1,2,0,no
953,PA,Inferior à média,415,no,no,Inferior à média,2,1,1,2,1,4,2,0,no
954,AK,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,2,2,2,3,2,0,no
955,CA,Igual ou superior à média,510,no,no,Inferior à média,2,3,2,2,2,3,2,3,no
956,MS,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,2,4,2,2,2,1,no
957,AR,Inferior à média,415,no,yes,Igual ou superior à média,3,1,2,0,2,2,1,0,no
959,AL,Inferior à média,510,no,yes,Igual ou superior à média,3,2,2,1,2,3,3,0,no
960,GA,Inferior à média,408,no,no,Inferior à média,2,2,1,1,2,3,3,1,no
962,MA,Inferior à média,408,no,no,Inferior à média,3,1,4,0,1,2,0,0,no
963,NJ,Igual ou superior à média,415,no,no,Inferior à média,3,2,1,1,2,2,1,0,no
964,MO,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,1,2,3,1,2,1,no
965,NY,Inferior à média,408,no,yes,Igual ou superior à média,2,3,2,2,2,2,3,0,no
966,AZ,Inferior à média,415,no,no,Inferior à média,2,3,3,2,1,1,3,1,no
967,NJ,Inferior à média,510,no,yes,Igual ou superior à média,2,0,3,3,3,2,4,1,yes
968,WV,Inferior à média,408,no,no,Inferior à média,3,4,2,3,1,2,2,0,no
969,NM,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,2,3,2,1,3,3,0,yes
970,SC,Inferior à média,415,no,no,Inferior à média,2,1,3,0,1,2,2,1,no
971,VT,Inferior à média,415,no,no,Inferior à média,2,3,2,3,2,0,2,0,no
972,TN,Inferior à média,415,no,no,Inferior à média,2,2,3,0,3,2,0,1,no
973,LA,Inferior à média,415,no,no,Inferior à média,3,2,1,2,1,2,2,0,no
974,OH,Igual ou superior à média,408,no,no,Inferior à média,1,2,2,2,1,2,3,0,no
976,DE,Igual ou superior à média,510,no,no,Inferior à média,4,3,2,2,2,1,2,2,yes
977,KY,Igual ou superior à média,415,no,no,Inferior à média,1,1,1,3,3,0,3,2,no
978,GA,Inferior à média,408,no,yes,Igual ou superior à média,1,2,1,3,2,2,2,0,yes
979,VT,Inferior à média,415,no,no,Inferior à média,4,2,3,3,2,3,3,1,yes
980,OR,Igual ou superior à média,415,no,no,Inferior à média,1,1,2,3,2,3,1,1,no
981,TX,Inferior à média,510,no,no,Inferior à média,2,2,2,2,1,3,2,3,no
982,MO,Igual ou superior à média,408,no,yes,Igual ou superior à média,1,1,3,2,3,1,1,1,no
984,MN,Inferior à média,510,no,no,Inferior à média,3,2,2,3,2,2,2,1,no
985,NV,Inferior à média,415,no,no,Inferior à média,1,2,4,2,2,1,2,0,no
987,FL,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,2,1,4,2,4,2,3,no
988,KS,Igual ou superior à média,415,yes,yes,Igual ou superior à média,3,2,3,1,2,2,1,0,yes
989,NV,Igual ou superior à média,510,no,no,Inferior à média,2,3,1,3,2,3,4,1,no
990,NV,Igual ou superior à média,408,no,no,Inferior à média,4,4,2,0,1,3,3,0,no
991,SC,Inferior à média,415,no,yes,Igual ou superior à média,2,3,3,1,4,2,0,0,no
992,MI,Inferior à média,415,no,yes,Igual ou superior à média,2,2,1,2,2,2,1,0,no
993,MI,Inferior à média,510,no,yes,Igual ou superior à média,1,2,1,3,0,2,1,1,no
994,TN,Inferior à média,510,no,no,Inferior à média,1,2,1,2,3,2,2,0,no
995,NY,Igual ou superior à média,510,no,yes,Igual ou superior à média,3,2,3,2,2,1,2,2,no
996,NV,Inferior à média,510,no,no,Inferior à média,2,2,1,2,1,2,1,1,no
997,IL,Igual ou superior à média,510,no,no,Inferior à média,1,2,2,2,2,2,2,1,no
998,MS,Igual ou superior à média,415,no,no,Inferior à média,3,2,2,2,1,1,2,0,no
999,ND,Inferior à média,510,no,no,Inferior à média,2,1,3,2,2,2,3,0,no
1000,NC,Igual ou superior à média,415,no,no,Inferior à média,2,2,1,2,0,2,1,0,no
1001,MI,Igual ou superior à média,408,no,no,Inferior à média,4,4,2,3,1,2,3,1,yes
1002,TN,Igual ou superior à média,415,no,no,Inferior à média,1,1,1,3,3,2,1,1,no
1003,VT,Inferior à média,408,no,yes,Igual ou superior à média,1,2,1,1,3,3,1,0,no
1004,OK,Inferior à média,510,no,yes,Igual ou superior à média,2,1,2,2,2,1,1,0,no
1005,DE,Inferior à média,415,no,yes,Igual ou superior à média,2,2,1,2,1,3,3,0,no
1006,ND,Inferior à média,510,yes,no,Inferior à média,3,3,1,3,2,2,2,1,no
1007,OR,Inferior à média,415,no,no,Inferior à média,2,2,4,1,1,3,1,1,no
1008,NY,Igual ou superior à média,408,no,no,Inferior à média,1,2,2,0,2,2,1,2,no
1009,MO,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,0,2,2,2,3,2,0,no
1010,FL,Igual ou superior à média,415,no,no,Inferior à média,2,2,1,2,1,3,2,0,no
1011,ND,Igual ou superior à média,510,no,no,Inferior à média,3,1,3,2,1,4,0,1,no
1012,NY,Inferior à média,415,no,no,Inferior à média,1,3,3,0,2,2,2,2,no
1013,ND,Igual ou superior à média,415,no,no,Inferior à média,1,2,2,3,3,2,1,1,no
1014,NY,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,0,2,2,3,1,no
1015,OH,Igual ou superior à média,415,no,no,Inferior à média,1,3,0,3,4,2,3,1,no
1016,AL,Igual ou superior à média,415,no,no,Inferior à média,3,2,2,3,2,2,3,0,no
1017,SC,Inferior à média,415,no,no,Inferior à média,1,3,1,2,2,2,2,0,no
1018,GA,Igual ou superior à média,415,no,no,Inferior à média,2,3,3,1,2,3,2,1,no
1019,WY,Inferior à média,415,no,no,Inferior à média,3,4,2,1,1,2,2,1,yes
1020,WV,Inferior à média,415,no,no,Inferior à média,2,1,1,2,2,2,2,0,no
1021,HI,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,1,2,4,3,4,3,0,no
1023,LA,Igual ou superior à média,510,no,no,Inferior à média,2,2,1,2,2,2,1,1,no
1024,AR,Inferior à média,510,no,no,Inferior à média,1,1,2,1,1,3,1,3,no
1025,AK,Igual ou superior à média,510,yes,no,Inferior à média,1,0,3,2,2,3,2,0,no
1026,DC,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,3,3,1,3,2,3,0,no
1027,AL,Inferior à média,415,no,yes,Igual ou superior à média,1,2,4,1,1,3,2,0,no
1028,UT,Igual ou superior à média,510,yes,no,Inferior à média,2,2,3,2,3,3,3,0,yes
1030,MN,Igual ou superior à média,510,no,no,Inferior à média,2,1,3,2,2,3,4,1,no
1031,VA,Inferior à média,415,no,yes,Igual ou superior à média,3,3,3,2,2,2,2,1,yes
1032,UT,Inferior à média,415,no,no,Inferior à média,2,2,2,2,1,1,1,3,no
1033,IN,Inferior à média,510,no,no,Inferior à média,3,1,1,2,2,2,2,1,no
1034,CT,Inferior à média,408,no,no,Inferior à média,2,2,2,3,2,2,2,2,no
1035,DE,Igual ou superior à média,408,no,no,Inferior à média,1,1,2,2,2,2,3,3,no
1036,VT,Igual ou superior à média,510,no,no,Inferior à média,2,1,2,3,1,2,2,0,no
1037,MO,Igual ou superior à média,408,no,yes,Igual ou superior à média,1,1,2,3,1,2,3,0,no
1038,RI,Inferior à média,510,yes,no,Inferior à média,1,1,1,1,2,2,2,1,no
1039,CA,Igual ou superior à média,415,no,no,Inferior à média,1,2,1,4,1,1,3,0,yes
1040,RI,Inferior à média,415,no,no,Inferior à média,1,1,2,2,3,2,2,0,no
1041,CT,Igual ou superior à média,510,no,no,Inferior à média,2,1,2,2,3,3,2,1,no
1042,IN,Igual ou superior à média,510,no,yes,Igual ou superior à média,3,2,2,2,2,3,4,2,no
1043,FL,Inferior à média,510,yes,yes,Igual ou superior à média,1,2,2,3,3,3,2,0,no
1044,KS,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,1,2,2,2,3,no
1045,NY,Inferior à média,510,yes,no,Inferior à média,3,2,1,1,0,2,1,1,no
1046,TX,Igual ou superior à média,408,no,no,Inferior à média,2,3,1,3,4,2,2,0,no
1047,RI,Igual ou superior à média,510,no,no,Inferior à média,3,3,3,2,3,1,1,1,no
1048,NV,Igual ou superior à média,415,no,no,Inferior à média,1,1,3,3,2,0,1,2,no
1049,UT,Inferior à média,510,no,no,Inferior à média,3,2,2,2,1,3,1,0,no
1050,OK,Inferior à média,510,no,no,Inferior à média,2,1,1,2,3,2,1,3,no
1051,MN,Igual ou superior à média,510,no,yes,Igual ou superior à média,1,2,2,1,2,1,3,4,no
1052,NC,Igual ou superior à média,415,no,no,Inferior à média,3,3,2,1,2,3,2,0,no
1054,NH,Inferior à média,408,no,no,Inferior à média,2,3,2,1,3,2,2,0,no
1055,AK,Inferior à média,408,no,no,Inferior à média,2,2,0,3,2,2,2,0,no
1056,OR,Igual ou superior à média,415,no,no,Inferior à média,2,2,1,1,1,1,1,0,no
1057,KS,Inferior à média,408,no,no,Inferior à média,2,2,0,3,2,3,1,0,no
1058,WV,Inferior à média,415,no,yes,Igual ou superior à média,1,4,1,3,1,2,3,1,no
1059,GA,Inferior à média,510,no,no,Inferior à média,2,3,2,1,0,2,2,2,no
1060,NM,Igual ou superior à média,415,no,no,Inferior à média,3,1,2,3,0,3,2,0,no
1061,OH,Igual ou superior à média,510,no,no,Inferior à média,2,2,0,2,2,2,4,0,no
1062,ND,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,3,2,2,1,2,3,no
1063,RI,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,1,1,1,2,2,2,0,no
1064,HI,Igual ou superior à média,510,no,no,Inferior à média,1,3,1,2,3,3,2,0,no
1065,WY,Igual ou superior à média,415,yes,yes,Igual ou superior à média,2,3,1,2,3,2,3,0,no
1066,NY,Inferior à média,415,no,yes,Igual ou superior à média,3,1,2,2,1,1,2,2,no
1067,KS,Igual ou superior à média,510,no,yes,Igual ou superior à média,3,4,2,1,3,3,2,1,no
1068,LA,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,2,3,2,3,2,no
1069,PA,Igual ou superior à média,415,no,no,Inferior à média,2,3,3,4,0,3,2,1,no
1070,NV,Inferior à média,510,no,no,Inferior à média,2,2,2,1,2,3,3,1,no
1071,MN,Inferior à média,415,no,no,Inferior à média,1,2,2,4,2,2,3,3,no
1072,PA,Igual ou superior à média,408,no,no,Inferior à média,2,3,3,4,2,2,0,3,no
